PET,TEXT,text_name,condition,domain,Sent_id,keystrokes,time,num_major,num_minor,num_characters,highlight_ratio,prc_sugg_accepted,tags_edited,How difficult to translate was the source text?,How good was the quality of MT?,How useful were the error annotations? ,How accurate were the error annotations? ,How useful were the translation suggestions? ,How accurate were the translation suggestions? 
5,Text 8,doc34,4,medical,7,13,23.222,0,1,204,0.0049,100.0,,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 8,doc34,4,medical,8,5,35.544,0,3,162,0.3086,0.0,'gavagevoeding',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
6,Text 1,news_seattle_times.800119,1,news,1,19,96.955,0,0,51,0.0,N/A,,Very easy,Fair,nan,nan,nan,nan
6,Text 1,news_seattle_times.800119,1,news,2,6,10.48,0,0,104,0.0,N/A,,Very easy,Fair,nan,nan,nan,nan
6,Text 1,news_seattle_times.800119,1,news,3,87,173.87599999999998,0,0,300,0.0,N/A,,Very easy,Fair,nan,nan,nan,nan
6,Text 1,news_seattle_times.800119,1,news,4,0,220.279,0,0,86,0.0,N/A,,Very easy,Fair,nan,nan,nan,nan
6,Text 1,news_seattle_times.800119,1,news,5,61,125.233,0,0,190,0.0,N/A,,Very easy,Fair,nan,nan,nan,nan
6,Text 1,news_seattle_times.800119,1,news,6,50,282.62899999999996,0,0,193,0.0,N/A,,Very easy,Fair,nan,nan,nan,nan
6,Text 1,news_seattle_times.800119,1,news,7,7,44.756,0,0,76,0.0,N/A,,Very easy,Fair,nan,nan,nan,nan
6,Text 1,news_seattle_times.800119,1,news,8,91,206.39,0,0,265,0.0,N/A,,Very easy,Fair,nan,nan,nan,nan
6,Text 2,doc34,1,medical,2,34,56.137,0,0,194,0.0,N/A,,Very easy,Good,nan,nan,nan,nan
6,Text 2,doc34,1,medical,3,11,72.434,0,0,49,0.0,N/A,,Very easy,Good,nan,nan,nan,nan
6,Text 2,doc34,1,medical,4,68,147.198,0,0,304,0.0,N/A,,Very easy,Good,nan,nan,nan,nan
6,Text 2,doc34,1,medical,5,6,79.341,0,0,139,0.0,N/A,,Very easy,Good,nan,nan,nan,nan
6,Text 2,doc34,1,medical,6,106,217.13400000000001,0,0,116,0.0,N/A,,Very easy,Good,nan,nan,nan,nan
6,Text 2,doc34,1,medical,7,15,37.656,0,0,204,0.0,N/A,,Very easy,Good,nan,nan,nan,nan
6,Text 2,doc34,1,medical,8,29,70.851,0,0,162,0.0,N/A,,Very easy,Good,nan,nan,nan,nan
6,Text 2,doc34,1,medical,1,0,0,0,0,122,0.0,N/A,,Very easy,Good,nan,nan,nan,nan
6,Text 3,news_pa.5274,2,news,1,30,145.88,0,2,92,0.25,N/A,,Somewhat easy,Good,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 3,news_pa.5274,2,news,2,61,309.548,1,3,202,0.1337,N/A,'''; 'ondersch',Somewhat easy,Good,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 3,news_pa.5274,2,news,3,28,76.01299999999999,0,2,208,0.149,N/A,'fondsen impliceerde dat',Somewhat easy,Good,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 3,news_pa.5274,2,news,4,38,99.685,0,0,256,0.0,N/A,,Somewhat easy,Good,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 3,news_pa.5274,2,news,5,28,110.906,0,2,223,0.0673,N/A,'actief',Somewhat easy,Good,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 3,news_pa.5274,2,news,6,88,366.037,5,0,523,0.1472,N/A,'le marketing',Somewhat easy,Good,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 4,doc13,2,medical,1,0,0,0,5,104,0.3077,N/A,,Neutral,Good,Somewhat not useful,Not accurate nor inaccurate,nan,nan
6,Text 4,doc13,2,medical,2,5,12.031,0,1,174,0.0345,N/A,'trauma',Neutral,Good,Somewhat not useful,Not accurate nor inaccurate,nan,nan
6,Text 4,doc13,2,medical,3,30,63.556,0,5,225,0.1822,N/A,,Neutral,Good,Somewhat not useful,Not accurate nor inaccurate,nan,nan
